X,Y
0.49076118860593,5.010181571355872
3.268610404495007,17.27551834882567
5.832778911469539,28.06540716858045
8.824308836273168,39.51580971774423
12.243200178905873,50.614783075965846
15.87577223045313,61.749501920043244
20.14938640874402,72.64836554926491
26.987169094009445,83.13960065614572
35.96175886842031,89.9904783453061
44.936348642831184,92.44159737541716
53.91093841724206,90.57874691253275
62.88552819165292,85.9093651601712
71.8601179660638,80.35758055696967
80.83470774047467,74.18076060108982
89.80929751488551,68.71476516394215
98.78388728929639,63.21200294134283
107.75847706370726,58.996078209551825
116.73306683811813,56.532703584290246
125.70765661252901,54.780153477760805
134.68224638693985,53.49331598695251
143.65683616135072,52.954069800328085
152.6314259357616,52.512868374908095
161.60601571017247,52.512868374908095
169.5122019400106,52.5772102494485
180.55949459089257,50.3895865150744
189.38450786906324,46.81033995135472
198.35909764347412,42.85545939627053
207.333687417885,38.308633595414534
216.30827719229586,32.54850387465356
225.53028673492355,25.981439967927045
234.2574567411176,18.581619121242397
243.23204651552845,12.326771876237359
252.20663628993935,7.461300601466917
257.97601543063206,6.18671870580917
